TEXT	Sentiment	
move 'Spain' 'I' 'buy' 'house' 'country' 'case' 'so' 'people' 'leave' 'country' 'then' 'don' 't' 'I' 'leave' 'country' 'Kelly' 'Michael' 'Trump' 'same' 'interview' 'Neve' 'Campbell' 'House' 'Cards' 'actress' 'move' 'Canada' 'honesty' 'Post' 'UK' 'Founder' 'move' 'Trump' 't' 'fall' 'I' 'either' 'move' 'out' 'country' 'join' 'resistance' 'Lena' 'Creator' 'move' 'Vancouver' 'I' 'know' 'lot' 'people' 'have' 'do' 'I' 'really' 'Matrix' 'Key' 'Star' 'Key' 'move' 'Canada' 'It' 's' 'easy' 'It' 's' 'minute' 'Detroit' 's' 'I' 'm' 'Actress' 'star' 'move' 'Nova' 'simply' 'Nova' 'question' 'move' 'Trump' 'Al' 'Activist' 'move' 'Out' 'here' 'Trump' 'nominee' 'I' 'm' 'open' 'support' 'I' 'm' 'also' 'ticket' 'out' 'here' 'win' 'press' 'conference' 'Actress' 'Orange' 'Black' 'move' 'A' 'mental' 'I' 'move' 'mental' 're' 'Griffin' 'move' 'Africa' 'He' 's' 'good' 'making' 'money' 's' 'Trump' 'win' 'I' 'm' 'Africa' 'DJ' 'Spike' 'Lee' 'Director' 'X' 'move' 'Trump' 'win' 'be' 'back' 'Brooklyn' 'York' 'Vanity' 'Fair' 'Amber' 'Rose' 'Model' 'move' 'I' 't' 'even' 'I' 'm' 'I' 'm' 'out' 'I' 't' 'I' 'am' 'me' 'Weekly' 'Samuel' 'Jackson' 'Actor' 'move' 'South' 'Africa' 'He' 's' 'running' 'popularity' 'mon' 'let' 'go' 'View' 'move' 'Jupiter' 'HE' 'BE' 'JUPITER' 'George' 'star' 'George' 'move' 'Mexico' 'win' 'won' 't' 'have' 'worry' 'immigration' 'go' 'back' 'Streisand' 'Singer' 'move' 'Australia' 'Canada' 'He' 'ha' 'fact' 'I' 'don' 't' 'know' 'I' 't' 'I' 'm' 'either' 'country' 'Australia' 'let' 'me' 'Canada' 'Australian' 'journalist' 'Michael' 'Usher' 'Actress' 'host' 'View' 'move' 'Canada' 'confession' 'election' 'Republican' 'get' 'I' 'm' 'move' 'Canada' 'entire' 'I' 'already' 'have' 'ticket' 'View' 'wa' 'contingent' 'Republican' 'candidate' 'Trump' 'Goldberg' 'Actress' 'host' 'View' 'move' 'I' 'don' 't' 'want' 'be' 'America' 's' 'time' 'me' 'move' 'know' 'Actor' 'Power' 'move' 'Italy' 'I' 'move' 'Denver' 'Trump' 'win' 'presidency' 'I' 'm' 'out' 'Wrap' 'Cyrus' 'Pop' 'star' 'move' 'heart' 'am' 'president' 'I' 'don' 't' 'I' 'don' 't' 'mean' 'Ruth' 'Court' 'Justice' 'move' 'Zealand' 'I' 't' 'country' 'be' 'Trump' 'Now' 's' 'time' 'u' 'move' 'Zealand' 'York' 'Times' 'actress' 'move' 'Spain' 'I' 'need' 'learn' 'speak' 'Spanish' 'I' 'move' 'Spain' 'It' 's' 'comprehension' 'Trump' 'won' 'It' 's' 'too' 'crazy' 'Hopkins' 	pos	
Trump 'presidency' 'message' 'other' 'being' 'Twitter' 'today' 'new' 'Hitler' 'Paul' 'Joseph' 'Watson' 'November' 'finally' 'ridiculous' 'totally' 'email' 'wa' 'sent' 'University' 'Michigan' 'President' 'assistance' 'help' 'result' 'election' 'last' 'President' 'want' 'ensure' 'university' 'remains' 'most' 'responsibility' 'school' 'remain' 'intellectual' 'honesty' 'equity' 'University' 'Community' 'I' 'm' 'many' 'I' 'election' 'late' 'visit' 'event' 'Ginsberg' 'Center' 'Michigan' 'Union' 'It' 'take' 'time' 'result' 'yesterday' 's' 'election' 'full' 'implication' 'long-term' 'impact' 'university' 'nation' 'More' 'immediately' 'aftermath' 'close' 'contentious' 'election' 'continue' 'embrace' 'most' 'responsibility' 'university' 'community' 'responsibility' 'remain' 'intellectual' 'honesty' 'equity' 'inclusion' 'best' 'come' 'together' 'engage' 'respectfully' 'ideological' 'difference' 'support' 'unwelcome' 'pursue' 'knowledge' 'understanding' 'have' 'faculty' 'University' 'Michigan' 'report' 'member' 'community' 'support' 'vigil' 'tonight' 'Center' 'Research' 'Teaching' 'Learning' 'also' 'ha' 'numerous' 'resource' 'available' 'faculty' 'classroom' 'environment' 'issue' 'I' 'also' 'want' 'make' 'aware' 'plan' 'event' 'have' 'place' 'today' 'Ford' 'School' 'Public' 'Policy' 'Analysis' 'today' 'Weill' 'Hall' 's' 'Auditorium' 'include' 'former' 'Congressman' 'John' 'former' 'Ambassador' 'Ron' 'faculty' 'member' 'Mara' 'Stevenson' 'Marina' 'Whitman' 'History' 'Department' 'ha' 'community' 'discussion' 'faculty' 'include' 'historical' 'perspective' 'tonight' 'Hall' 'Office' 'Student' 'Life' 'provide' 'resource' 'support' 'campus' 'student' 'faculty' 'location' 'Michigan' 'Union' 's' 'Willis' 'Ward' 'Lounge' 'It' 'be' 'open' 'today' 'Office' 'Student' 'Affairs' 'open' 'space' 'support' 'help' 'member' 'community' 'open' 'today' 'MESA' 's' 'office' 'Michigan' 'Union' 'Room' 'Tomorrow' 'Ginsberg' 'Center' 'Counseling' 'Services' 'office' 'Dialogue' 'Impact' 'Forward' 'event' 'part' 'Student' 'Life' 'Professional' 'Development' 'Conference' 'Michigan' 'League' 's' 'Room' 'I' 'know' 'other' 'school' 'office' 'campus' 'event' 'well' 'I' 'u' 'come' 'together' 'election' 'event' 'University' 'Michigan' 'Calendar' 'I' 'hope' 'u' 'continue' 'embrace' 'u' 'faculty' 'great' 'public' 'research' 'university' 'people' 'often' 'time' 'change' 'value' 'stand' 'have' 'course' 'nearly' 'year' 'mission' 'remains' 'essential' 'ever' 'serve' 'people' 'Michigan' 'world' 'preeminence' 'communicating' 'knowledge' 'art' 'academic' 'value' 'citizen' 'challenge' 'present' 'I' 'forward' 'together' 'advance' 'work' 'do' 'service' 'public' 'ensure' 'University' 'Michigan' 'be' 'place' 'member' 'President' 	pos	
Republican 'politician' 'Ohio' 'Governor' 'John' 'get' 'behind' 'turn' 'out' 'Trump' 'wa' 't' 'need' 'In' 'spite' 'medium' 'force' 'out' 'never' 'own' 'party' 'very' 'hard' 'defeat' 'wa' 'running' 'Trump' 'today' 'Trump' 'have' 's' 'easy' 'glance' 'Tuesday' 's' 'popular' 'vote' 'precinct' 'reporting' 'show' 'Hillary' 'Clinton' 'vote' 'won' 'reach' 'conclusion' 'Clinton' 'lost' 'White' 'House' 'turn' 'out' 'base' 'truth' 'much' 'more' 'While' 'relative' 's' 'total' 'several' 'state' 'Ohio' 'Michigan' 'Iowa' 'Wisconsin' 'Clinton' 'virtually' 'even' 'battleground' 'Pennsylvania' 'North' 'Carolina' 'Virginia' 'Nevada' 'Hampshire' 's' 'more' 'far' 's' 'vote' 'total' 'Florida' 'country' 's' 'swing' 'state' 'somehow' 'Florida' 'Clinton' 'lost' 'u' 'important' 'question' 'Trump' 'good' 'enough' 'beat' 'bad' 'Tuesday' 'doe' 'deserve' 'far' 'more' 'credit' 'instance' 'have' 'machine' 'shockingly' 'yes' 'review' 'vote' 'total' 'past' 'election' 'Trump' 'have' 'electoral' 'Disclaimer' 'obviously' 'exercise' 'election' 'same' 'electorate' 'Still' 'unlike' 'defeat' 'not' 'entirely' 'argument' 'performance' 'country' 's' 'most' 'competitive' 'state' 'show' 'Trump' 'hypothetical' 'matchup' 'math' 'impossible' 'won' 'nearly' 'vote' 'Trump' 'currently' 'finish' 'be' 'vote' 'Mitt' 'won' 'then' 'Trump' 'have' 'electoral' 'Republican' 'turnout' 'part' 'country' 'shot' 'nation' 's' 'most' 'battleground' 'state' 'Let' 's' 'individually' 'order' 'population' 'do' 'math' 'total' 't' 'yet' 'final' 'not' 'precinct' 'have' 'Fed' 	pos	
association 'Liberty' 'Alliance' 'right' 'STAY' 'IN' 'LOOP' 'Sign' 'up' 'email' 'newsletter' 'become' 'Fed' 'insider' 	obj	
Article 'A' 'Trump' 'supporter' 't-shirt' 'let' 'Trump' 'brave' 'woman' 'have' 'enough' 'violence' 'day' 	obj	
association 'Liberty' 'Alliance' 'right' 'STAY' 'IN' 'LOOP' 'Sign' 'up' 'email' 'newsletter' 'become' 'Fed' 'insider' 	obj	
Article 'Trump' 'wa' 'give' 'up' 'very' 'build' 'so' 'up' 'take' 'control' 'out' 'government' 'He' 'have' 'already' 'so' 'much' 'put' 'country' 'first' 'Making' 'sacrifice' 'certainly' 'not' 'loudmouth' 'liberal' 'Robert' 'wa' 'very' 'vocal' 'opposition' 'wildly' 'successful' 'business' 'Trump' 'He' 'felt' 'so' 'strongly' 'hate' 'Trump' 'video' 'd' 'punch' 'Now' 'Trump' 'election' 'ha' 'chosen' 'get' 'behind' 'Trump' 'rioter' 'city' 'America' 'rioter' 'breaking' 'window' 'baseball' 'smash' 'windshield' 'innocent' 'citizen' 'get' 'hellish' 'try' 'escape' 'part' 'being' 'face' 'men' 'also' 'part' 'George' 'American' 'flag' 'being' 'burned' 'major' 'city' 'being' 'most' 'disgusting' 'imaginable' 'kind' 'America' 'Robert' 'DiNero' 'openly' 'so' 'American' 'pay' 'see' 'movie' 'De' 'Trump' 'protester' 'backing' 'spoke' 'tycoon' 's' 'win' 'presidential' 'election' 'star' 'wa' 'red' 'carpet' 'world' 'premiere' 'new' 'film' 'wa' 'wa' 'Trump' 's' 'victory' 'Hillary' 'Clinton' 'am' 'I' 'I' 'm' 'very' 'famously' 'laconic' 'Bull' 'actor' 'reporter' 'have' 'wait' 'go' 'keep' 'eye' 'ever' 'new' 'response' 'outcome' 'Tuesday' 's' 'election' 'Yes' 'Things' 't' 'being' 'street' 'Miami' 'York' 'other' 'city' 'third' 'straight' 'Friday' 'Manhattan' 'sign' 'reading' 'Wall' 'Can' 't' 'Stand' 'Way' 'reference' 'billionaire' 'ha' 'build' 'Mexico' 't' 'word' 'criticism' 'Trump' 'punk' 'pig' 'I' 'd' 'punch' 'face' 'election' 'day' 'town' 'Italy' 'De' 's' 'grandparent' 'actor' 'mean' 'escape' 'disappointment' 'Trump' 'want' 'take' 'refuge' 'here' 'ready' 'welcome' 'De' 's' 'passion' 'project' 'eight' 'year' 'bring' 'big' 'wa' 'part' 'year' 's' 'program' 'American' 'Film' 'Institute' 's' 'annual' 'Yahoo' 's' 'clip' 'Kelly' 'DiNero' 's' 'rant' 'Trump' 	pos	
special 'American' 'painter' 'subject' 'matter' 'intensity' 'current' 'Man' 's' 'background' 'darkening' 'past' 'gather' 'White' 'House' 'commemorate' 'event' 'In' 'hand' 'corner' 'head' 'future' 'past' 'try' 'console' 'direction' 'modern' 'say' 'have' 'modern' 'seemingly' 'oblivious' 'other' 'appear' 'be' 'other' 'accomplishment' 'In' 'front' 'paper' 'trash' 'wind' 'bill' 'document' 'U.S.' 'Constitution' 'foot' 'never' 'original' 'exception' 'He' 'so' 'give' 'Trump' 'original' 'Man' 'give' 'Trump' 'hang' 'White' 'House' 'WHITE' 'HOUSE' 	neg	
Article 'Dear' 'I' 'woman' 'I' 'criminal' 'activity' 'rapist' 'men' 'die' 'Benghazi' 'put' 'grave' 'risk' 'top' 'email' 'private' 'money' 'nation' 'gay' 'off' 'rooftop' 'treat' 'woman' 'worse' 'cockroach' 'likely' 'very' 'sick' 'be' 'serve' 'out' 'first' 'term' 'someone' 'prop' 'up' 'I' 's' 'Democrat' 'ha' 'vagina' 'Someone' 'me' 'still' 'ha' 'chance' 'presidency' 'I' 'petition' 'Trump' 'really' 't' 'win' 'Hillary' 'popular' 'vote' 'true' 'let' 's' 'address' 'Hillary' 'win' 'popular' 'vote' 'isn' 't' 'College' 'situation' 'awful' 'head' 's' 'not' 'awful' 'It' 's' 'importance' 'vote' 'It' 's' 'also' 'uniquely' 'American' 'yet' 'again' 'brilliance' 'Founding' 's' 'probably' 'not' 'win' 'actual' 'number' 'vote' 'cast' 'win' 'number' 'vote' 'not' 'vote' 'cast' 'don' 't' 'count' 'absentee' 'ballot' 'number' 'outstanding' 'absentee' 'ballot' 'larger' 'state' 'margin' 'difference' 'margin' 'vote' 'absentee' 'ballot' 'outstanding' 'then' 'state' 'number' 'outstanding' 'absentee' 'ballot' 't' 'influence' 'election' 'result' 'then' 'absentee' 'ballot' 't' 'vote' 'absentee' 'ballot' 'overseas' 'military' 'businesspeople' 'historical' 'absentee' 'ballot' 'Republican' 'In' 'Al' 'Gore' 'won' 'popular' 'vote' 'nationally' 'vote' 'liberal' 'medium' 'murder' 'absentee' 'ballot' 'California' 'A' 'yield' 'Republican' 'vote' 'advantage' 'so' 'Bush' 'have' 'margin' 'California' 's' 'uncounted' 'absentee' 'ballot' 'So' 'much' 'Gore' 's' 'popular' 'vote' 'Times' 'lead' 'story' 'News' 'right' 'No' 're' 'back' 'win' 'popular' 'College' 'scenario' 'have' 'California' 'election' 'time' 'College' 'brilliantly' 'smooth' 'out' 'variance' 'proclivity' 'state' 'region' 'middle' 'country' 'importer' 'shore' 'get' 'equal' 'do' 'Madison' 'factory' 'worker' 'Tennessee' 'make' 'R' 'vote' 'very' 'few' 'heavily' 'D' 'state' 'vice' 'College' 'country' 's' 'entire' 'population' 'subject' 'preference' 'few' 'most' 'populous' 'state' 'American' 'Comment' 'Article' 'Account' 'Comment' 'Article' 'Account' 'Us' 	pos	
Cuban 'ha' 'secret' 'dislike' 'Trump' 'love' 'Hillary' 'Watch' 'tell' 'FOX' 'News' 'mark' 'win' 'I' 'have' 'doubt' 'market' 'tank' 'Well' 's' 'not' 'exactly' 'now' 'Cuban' 'So' 'here' 's' 'really' 'Watch' 'U.S.' 'stock' 'Wednesday' 'point' 'surge' 'financial' 'industrial' 'stock' 'investor' 'bet' 'spending' 'policy' 'Trump' 'Jones' 'Average' 'much' 'point' 'briefly' 'high' 'set' 'August' 'index' 'point' 'higher' 'level' 'Caterpillar' 'Inc' 'CAT' 'gain' 'more' 'Way' 'go' 'u' 'little' 'know' 'economics' 'right' 'candidate' 'Hope' 'loss' 't' 'cost' 'too' 'much' 'share' 	pos	
year 'old' 'Chicago' 'wa' 'brutally' 'mob' 'black' 'America' 'Here' 'very' 'story' 	pos	
Article 'Filmmaker' 'Horowitz' 'take' 'street' 'Berkeley' 'CA' 'ask' 'white' 'liberal' 'voter' 'ID' 'law' 'Do' 'voter' 'ID' 'law' 'black' 'vote' 'Are' 'voter' 'ID' 'law' 'racist' 'Watch' 'very' 'response' 'elitist' 'liberal' 'give' 'Horowitz' 'watch' 'black' 'citizen' 'Harlem' 'NY' 'racist' 'generalization' 'white' 'liberal' 'Berkeley' 'CA' 'Tell' 'u' 'again' 'real' 'racist' 'Wow' 	neg' 	pos')
